# Reference: Paur and Bass, 1985 Quadrennial Ozone Symposium, Halkidiki, Greece
# Comments : Compiled from data supplied by Michiel van Weele, KNMI, The Netherlands
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)**2) * 1.E-20 cm^2
# where T0 = 273.13 and T is in Kelvin
#
# wavelength  
# (air nm)         C0          C1(T)       C2(T^2)
   249.868      1.11580e+03     -1.96710e-01     -1.63840e-03
   249.912      1.11540e+03     -1.92260e-01     -1.70040e-03
   249.962      1.11630e+03     -1.35030e-01     -7.46600e-04
   250.012      1.11570e+03     -1.62800e-01     -8.02460e-04
   250.062      1.11750e+03     -1.84760e-01     -2.91820e-03
   250.112      1.11360e+03     -1.04540e-01     -1.07160e-03
   250.162      1.11340e+03     -1.43970e-01     -1.70760e-03
   250.212      1.10850e+03     -6.73940e-02      2.12770e-04
   250.262      1.10650e+03     -3.30630e-02      5.72250e-05
   250.312      1.10570e+03     -3.58670e-02      3.83400e-04
   250.362      1.10460e+03     -6.70870e-02     -4.35710e-04
   250.412      1.10350e+03     -4.27140e-02     -5.06050e-04
   250.462      1.10180e+03     -1.06220e-03      3.21030e-04
   250.512      1.10520e+03     -1.31450e-01     -2.81090e-03
   250.562      1.10250e+03     -2.97290e-02     -3.89530e-04
   250.612      1.10140e+03     -4.22980e-03      4.55960e-05
   250.662      1.10320e+03     -9.04020e-02     -1.77900e-03
   250.711      1.10190e+03     -6.50680e-02     -1.32550e-04
   250.761      1.10200e+03     -1.24870e-02      7.95160e-04
   250.811      1.10550e+03     -1.57550e-01     -2.14600e-03
   250.861      1.10190e+03     -7.38390e-02      6.50510e-05
   250.911      1.10670e+03     -1.46390e-01     -1.60060e-03
   250.961      1.10690e+03     -1.07300e-01     -2.44700e-04
   251.011      1.10660e+03     -1.03140e-01     -2.15380e-04
   251.061      1.11020e+03     -1.63960e-01     -1.78170e-03
   251.111      1.10890e+03     -7.29160e-02     -1.69300e-05
   251.161      1.11330e+03     -1.54580e-01     -1.63200e-03
   251.211      1.11510e+03     -1.40040e-01     -6.05760e-04
   251.261      1.11820e+03     -2.37570e-01     -1.92300e-03
   251.311      1.12410e+03     -1.93550e-01     -1.46280e-03
   251.361      1.12860e+03     -1.97580e-01     -1.24650e-03
   251.411      1.13350e+03     -1.65030e-01      1.82400e-04
   251.461      1.14000e+03     -2.67550e-01     -1.57490e-03
   251.511      1.14390e+03     -2.34610e-01     -1.08870e-03
   251.561      1.14890e+03     -2.82290e-01     -2.13640e-03
   251.611      1.15200e+03     -2.10210e-01     -1.46430e-03
   251.661      1.15190e+03     -2.33810e-01     -8.79300e-04
   251.711      1.15270e+03     -1.76700e-01      1.70660e-04
   251.761      1.15470e+03     -1.90770e-01     -1.33300e-03
   251.811      1.15390e+03     -1.81580e-01     -8.37040e-04
   251.861      1.14900e+03     -1.37150e-01      3.83550e-04
   251.911      1.15000e+03     -9.19790e-02     -3.46120e-04
   251.961      1.14910e+03     -7.21000e-02     -2.92790e-04
   252.011      1.14620e+03     -9.45650e-02     -6.28130e-04
   252.061      1.14400e+03      9.79120e-03      2.75040e-04
   252.111      1.14280e+03     -8.89420e-02     -6.08580e-04
   252.161      1.14210e+03     -4.46480e-02     -5.63610e-04
   252.212      1.13490e+03     -8.77270e-02     -1.38340e-04
   252.262      1.13610e+03     -1.28480e-01     -1.43150e-03
   252.312      1.13390e+03     -1.08790e-01     -6.68380e-04
   252.362      1.13160e+03      4.94060e-03      5.62160e-04
   252.412      1.12920e+03      2.83850e-02      1.22010e-03
   252.462      1.12580e+03     -4.32840e-02      4.33150e-04
   252.512      1.12970e+03     -1.48420e-01     -2.54940e-03
   252.562      1.13040e+03     -1.86120e-01     -3.54580e-03
   252.612      1.12710e+03     -1.31220e-01     -2.08310e-03
   252.662      1.12750e+03     -1.46640e-01     -2.03850e-03
   252.712      1.12870e+03     -1.26560e-01     -1.84950e-03
   252.762      1.12610e+03     -1.28410e-01     -7.43800e-04
   252.812      1.12990e+03     -2.07340e-01     -3.31970e-03
   252.862      1.13490e+03     -2.36740e-01     -4.50420e-03
   252.912      1.13540e+03     -1.78290e-01     -2.81080e-03
   252.962      1.13110e+03     -1.35940e-01     -4.96530e-04
   253.012      1.13060e+03     -3.15720e-01     -2.37160e-03
   253.062      1.13360e+03     -2.20950e-01     -2.27990e-03
   253.112      1.13650e+03     -1.91460e-01     -2.96880e-03
   253.162      1.13830e+03     -1.74640e-01     -1.96710e-03
   253.212      1.13790e+03     -9.09860e-03      2.40130e-04
   253.262      1.13600e+03     -1.07370e-01     -1.24330e-04
   253.312      1.13770e+03     -9.35600e-02     -1.34230e-04
   253.362      1.14490e+03     -2.01620e-01     -2.81170e-03
   253.412      1.14230e+03     -9.57320e-02      1.65930e-06
   253.462      1.14530e+03     -1.33310e-01     -9.50640e-04
   253.512      1.14660e+03     -6.06010e-02      7.47070e-04
   253.562      1.14890e+03     -1.61100e-01     -1.03870e-03
   253.612      1.15170e+03     -1.97340e-01     -2.11740e-03
   253.662      1.14980e+03     -1.60310e-01     -1.35900e-03
   253.712      1.15190e+03     -1.94760e-01     -2.14540e-03
   253.762      1.15040e+03     -1.73430e-01     -9.92390e-04
   253.812      1.15230e+03     -2.01670e-01     -2.35600e-03
   253.862      1.14910e+03     -9.70420e-02      6.31590e-04
   253.912      1.15210e+03     -1.99170e-01     -1.92280e-03
   253.962      1.15040e+03     -1.85080e-01     -1.51670e-03
   254.012      1.14740e+03     -5.65240e-02      1.13470e-03
   254.062      1.14630e+03     -9.79710e-02      1.98470e-05
   254.112      1.14440e+03     -5.34520e-02      1.45280e-03
   254.162      1.14370e+03     -9.50790e-02     -4.11390e-04
   254.212      1.14390e+03     -1.28340e-01     -1.53930e-03
   254.262      1.13710e+03     -1.08260e-02      1.15500e-03
   254.312      1.13110e+03      8.98630e-03      2.54870e-03
   254.362      1.13140e+03     -3.44000e-02      1.59380e-04
   254.412      1.13320e+03     -7.41570e-02     -1.63120e-03
   254.462      1.13100e+03     -7.90660e-03     -4.93170e-04
   254.512      1.13040e+03     -1.66960e-02     -8.94270e-04
   254.562      1.12850e+03      2.72670e-02      5.01110e-04
   254.612      1.13120e+03     -5.44570e-02     -1.20270e-03
   254.662      1.12980e+03     -6.20890e-02     -6.05130e-04
   254.712      1.13410e+03     -6.30860e-02     -8.49760e-04
   254.762      1.13630e+03     -8.25690e-02     -1.15910e-03
   254.812      1.14020e+03     -1.43340e-01     -2.21610e-03
   254.862      1.14550e+03     -1.27360e-01     -1.83930e-03
   254.912      1.14910e+03     -2.16050e-01     -2.28250e-03
   254.962      1.15080e+03     -1.07350e-01      6.14320e-05
   255.012      1.15570e+03     -1.52250e-01     -1.42000e-03
   255.062      1.15700e+03     -1.05210e-01      1.05080e-03
   255.112      1.16380e+03     -1.97820e-01     -9.93680e-04
   255.162      1.17100e+03     -3.10570e-01     -4.37930e-03
   255.212      1.17140e+03     -2.49020e-01     -1.77280e-03
   255.262      1.16930e+03     -1.27770e-01     -2.85680e-05
   255.312      1.17010e+03     -1.61770e-01     -2.80830e-04
   255.362      1.17070e+03     -1.74710e-01     -1.51610e-03
   255.412      1.17000e+03     -1.64430e-01     -1.25950e-03
   255.462      1.16230e+03     -4.74500e-02      2.08660e-03
   255.512      1.16430e+03     -8.04580e-02      5.02000e-04
   255.562      1.16080e+03      1.18970e-02      1.21430e-03
   255.612      1.15910e+03     -5.44910e-02      2.46020e-04
   255.662      1.15490e+03     -5.25070e-03      6.86660e-04
   255.712      1.15630e+03     -7.69170e-02     -7.09910e-04
   255.762      1.15200e+03     -1.45980e-02      4.97090e-04
   255.812      1.15180e+03     -2.14840e-02      1.15320e-04
   255.862      1.15090e+03     -8.70440e-02     -1.42330e-03
   255.912      1.14730e+03     -4.05860e-02     -1.97790e-04
   255.962      1.14460e+03     -1.61970e-02      1.43950e-04
   256.011      1.14280e+03      3.23990e-03     -3.30920e-04
   256.061      1.14180e+03     -3.65710e-02     -4.85260e-04
   256.111      1.13740e+03      6.98060e-03      5.32780e-04
   256.161      1.13460e+03      7.34870e-03      5.06100e-04
   256.211      1.13370e+03     -3.16120e-02     -5.80300e-04
   256.261      1.12940e+03      1.72430e-02      2.74030e-04
   256.311      1.12430e+03      1.22690e-01      2.32340e-03
   256.361      1.12810e+03     -1.73400e-02     -1.82020e-03
   256.411      1.11850e+03      1.43660e-01      2.29500e-03
   256.461      1.12040e+03     -5.81280e-02     -2.35300e-03
   256.511      1.12050e+03     -1.62570e-01     -3.70250e-03
   256.561      1.11820e+03     -7.14330e-02     -2.00170e-03
   256.611      1.11770e+03     -3.48840e-02     -4.62180e-04
   256.661      1.11830e+03     -5.96890e-02     -5.89810e-04
   256.711      1.11870e+03     -8.72650e-03      4.16100e-05
   256.761      1.11900e+03     -2.88740e-03     -1.97560e-04
   256.811      1.12230e+03     -1.10770e-01     -2.03190e-03
   256.861      1.12570e+03     -1.17140e-01     -1.37330e-03
   256.911      1.12710e+03     -9.69410e-02     -8.44430e-04
   256.961      1.12810e+03     -7.69580e-02      1.31210e-04
   257.011      1.12880e+03     -6.93360e-02     -4.68190e-05
   257.061      1.13190e+03     -1.24570e-01     -7.23870e-04
   257.111      1.13010e+03     -5.75580e-02      1.68450e-04
   257.161      1.13000e+03     -1.03370e-01     -3.58630e-04
   257.211      1.12780e+03     -2.58890e-02      1.30280e-03
   257.261      1.12760e+03     -5.87970e-02      3.20960e-04
   257.311      1.12520e+03     -7.13190e-02      1.03620e-04
   257.361      1.12130e+03      1.37040e-02      1.47060e-03
   257.411      1.11880e+03     -1.01990e-01     -7.55100e-05
   257.461      1.11850e+03     -4.26520e-02      8.57920e-05
   257.511      1.11640e+03      1.69250e-02      8.48760e-04
   257.561      1.11470e+03      4.09720e-03      6.94210e-04
   257.611      1.11440e+03     -2.47750e-02      5.36610e-04
   257.661      1.11480e+03      4.69030e-03      6.76370e-05
   257.711      1.11620e+03     -8.39830e-02     -1.13540e-03
   257.761      1.11410e+03      4.29680e-02      1.13130e-03
   257.811      1.11460e+03     -2.29890e-02     -3.34310e-04
   257.861      1.11380e+03     -1.26120e-02      2.33770e-04
   257.911      1.11000e+03      5.78720e-02      1.46290e-03
   257.961      1.11190e+03     -3.53140e-02     -4.57570e-04
   258.011      1.11140e+03      1.00300e-02      7.03100e-04
   258.061      1.11350e+03     -8.59010e-02     -6.04660e-04
   258.111      1.11570e+03     -9.83120e-02     -9.50920e-04
   258.161      1.11900e+03     -1.93920e-02      5.46530e-04
   258.211      1.12220e+03     -8.23450e-02      8.29660e-04
   258.261      1.12570e+03     -9.73510e-02     -1.84560e-04
   258.311      1.13200e+03     -2.10520e-01     -2.06950e-03
   258.361      1.13750e+03     -1.77100e-01     -1.05650e-03
   258.411      1.14190e+03     -1.91000e-01     -7.95590e-04
   258.461      1.14730e+03     -1.85070e-01     -1.28650e-03
   258.511      1.15200e+03     -2.96750e-01     -4.12910e-03
   258.561      1.14980e+03     -1.43500e-01      6.81220e-04
   258.611      1.15520e+03     -1.86150e-01     -1.11460e-03
   258.661      1.15030e+03     -6.24000e-02      2.01840e-03
   258.711      1.14930e+03     -7.94810e-02      1.33820e-03
   258.761      1.14940e+03     -7.91700e-02      1.21340e-03
   258.811      1.14580e+03      1.28220e-02      2.61060e-03
   258.861      1.14310e+03     -1.05060e-02      2.17210e-03
   258.911      1.14000e+03      1.88910e-02      2.34140e-03
   258.961      1.13720e+03     -3.77410e-02      8.21310e-04
   259.011      1.13470e+03     -7.23240e-03      7.43200e-04
   259.061      1.12780e+03      1.96660e-02      1.65100e-03
   259.111      1.11830e+03      1.52960e-01      3.93640e-03
   259.161      1.11120e+03      1.30540e-01      2.30030e-03
   259.211      1.10560e+03      1.64250e-01      2.98210e-03
   259.261      1.10110e+03      1.35420e-01      2.06210e-03
   259.311      1.09310e+03      1.53240e-01      2.94220e-03
   259.361      1.08920e+03      1.63790e-01      2.22920e-03
   259.411      1.08300e+03      1.83490e-01      1.51850e-03
   259.461      1.07740e+03      1.38080e-01      8.81980e-04
   259.511      1.07460e+03      9.71440e-02      5.10890e-04
   259.561      1.07170e+03      1.20580e-01      2.13830e-04
   259.611      1.06650e+03      1.10890e-01      8.19630e-04
   259.661      1.06490e+03      1.50370e-01      1.67210e-03
   259.711      1.06620e+03      3.90690e-02     -1.80640e-03
   259.761      1.06220e+03      1.53800e-01      1.26580e-03
