# K. Yoshino, W.H. Parkinson, K. Ito, and T. Matsui, "Absolute
# absorption cross-section measurements of Schumann-Runge continuum 
# of O2 at 90 and 295 K," J. Mol. Spectrosc. 229, 238-243 (2005).  
#
# data from http://www.atmosphere.mpg.de/enid/...
#
#               295K          95K
#
130.04    4.3338e-19    4.110e-19
136.99    1.1842e-17	1.127e-17
137.04    1.1941e-17	1.142e-17
137.09    1.2098e-17	1.155e-17
137.14    1.2217e-17	1.169e-17
137.19    1.2345e-17	1.182e-17
137.24    1.2436e-17	1.194e-17
137.29    1.2527e-17	1.206e-17
137.34    1.2647e-17	1.217e-17
137.39    1.2735e-17	1.226e-17
137.44    1.2863e-17	1.234e-17
137.49    1.2932e-17	1.240e-17
137.54    1.3010e-17	1.246e-17
137.59    1.3083e-17	1.253e-17
137.64    1.3209e-17	1.259e-17
137.69    1.3281e-17	1.266e-17
137.74    1.3363e-17	1.272e-17
137.79    1.3435e-17	1.279e-17
137.84    1.3496e-17	1.283e-17
137.89    1.3548e-17	1.288e-17
137.94    1.3615e-17	1.293e-17
137.99    1.3673e-17	1.298e-17
138.04    1.3712e-17	1.301e-17
138.09    1.3752e-17	1.305e-17
138.14    1.3787e-17	1.307e-17
138.19    1.3825e-17	1.309e-17
138.24    1.3864e-17	1.313e-17
138.29    1.3884e-17	1.316e-17
138.34    1.3891e-17	1.321e-17
138.39    1.3906e-17	1.326e-17
138.44    1.3905e-17	1.329e-17
138.49    1.3928e-17	1.332e-17
138.54    1.3950e-17	1.335e-17
138.59    1.3987e-17	1.339e-17
138.64    1.4018e-17	1.342e-17
138.69    1.4059e-17	1.344e-17
138.74    1.4092e-17	1.347e-17
138.79    1.4133e-17	1.348e-17
138.84    1.4152e-17	1.348e-17
138.89    1.4183e-17	1.349e-17
138.94    1.4204e-17	1.352e-17
138.99    1.4220e-17	1.352e-17
139.04    1.4223e-17	1.353e-17
139.09    1.4234e-17	1.352e-17
139.14    1.4237e-17	1.354e-17
139.19    1.4236e-17	1.356e-17
139.24    1.4235e-17	1.358e-17
139.29    1.4226e-17	1.361e-17
139.34    1.4218e-17	1.362e-17
139.39    1.4198e-17	1.363e-17
139.44    1.4185e-17	1.364e-17
139.49    1.4176e-17	1.365e-17
139.54    1.4182e-17	1.366e-17
139.59    1.4183e-17	1.364e-17
139.64    1.4195e-17	1.363e-17
139.69    1.4209e-17	1.360e-17
139.74    1.4230e-17	1.358e-17
139.79    1.4251e-17	1.356e-17
139.84    1.4288e-17	1.355e-17
139.89    1.4325e-17	1.354e-17
139.94    1.4359e-17	1.353e-17
