# Reference      : Molina and Molina, JGR, vol. 91, pp 14501-14508, 1986 
# Comments       : Table 1 in Molina and Molina (1986), got this from
# Comments       : Tapani Koskela, FMI, Finland, thanks.
#lambda	226K	263K	298K
#
830.0   0.0142    0.0142   0.0142   
831.0   0.0142    0.0142   0.0142   
832.0   0.0141    0.0141   0.0141   
833.0   0.0141    0.0141   0.0141   
834.0   0.0140    0.0140   0.0140   
835.0   0.0140    0.0140   0.0140   
836.0   0.0140    0.0140   0.0140   
837.0   0.0140    0.0140   0.0140   
838.0   0.0140    0.0140   0.0140   
839.0   0.0140    0.0140   0.0140   
840.0   0.0140    0.0140   0.0140   
841.0   0.0140    0.0140   0.0140   
842.0   0.0141    0.0141   0.0141   
843.0   0.0141    0.0141   0.0141   
844.0   0.0142    0.0142   0.0142   
845.0   0.0142    0.0142   0.0142   
846.0   0.0143    0.0143   0.0143   
847.0   0.0143    0.0143   0.0143   
848.0   0.0144    0.0144   0.0144   
849.0   0.0144    0.0144   0.0144   
850.0   0.0145    0.0145   0.0145
