# Wahner etal, J.Phys.Chem.91, 2734(1987)
#
#           cross section (cm^2) at T(K)
#lambda   204       296       378
# nm  		            
268.36  4.386e-19 3.045e-19 5.645e-19
268.58  4.444e-19 3.051e-19 5.534e-19
268.80  4.419e-19 3.111e-19 5.760e-19
269.01  4.478e-19 3.119e-19 5.476e-19
269.23  4.495e-19 3.151e-19 5.638e-19
269.45  4.564e-19 3.259e-19 5.781e-19
269.67  4.448e-19 3.289e-19 5.758e-19
269.88  4.414e-19 3.228e-19 5.727e-19
270.10  4.347e-19 3.119e-19 5.615e-19
270.32  4.365e-19 3.134e-19 5.795e-19
270.54  4.462e-19 3.135e-19 5.708e-19
270.75  4.491e-19 3.088e-19 5.852e-19
270.97  4.574e-19 3.284e-19 5.891e-19
271.19  4.660e-19 3.464e-19 5.957e-19
271.41  4.833e-19 3.425e-19 5.935e-19
271.62  4.902e-19 3.532e-19 5.981e-19
271.84  5.035e-19 3.640e-19 6.089e-19
272.06  5.109e-19 3.636e-19 6.018e-19
272.28  5.009e-19 3.690e-19 6.048e-19
272.49  5.146e-19 3.669e-19 6.233e-19
272.71  4.942e-19 3.802e-19 6.350e-19
272.93  4.850e-19 3.812e-19 6.403e-19
273.15  4.817e-19 3.755e-19 6.144e-19
273.36  4.750e-19 3.601e-19 6.219e-19
273.58  4.719e-19 3.519e-19 6.139e-19
273.80  4.741e-19 3.489e-19 6.061e-19
274.01  4.777e-19 3.465e-19 5.938e-19
274.23  4.923e-19 3.493e-19 5.999e-19
274.45  5.005e-19 3.562e-19 6.190e-19
274.67  5.282e-19 3.820e-19 6.508e-19
274.88  5.493e-19 4.124e-19 6.543e-19
275.10  5.671e-19 4.166e-19 6.612e-19
275.32  5.872e-19 4.357e-19 6.787e-19
275.54  5.948e-19 4.413e-19 6.925e-19
275.75  5.955e-19 4.517e-19 6.840e-19
275.97  5.854e-19 4.533e-19 6.798e-19
276.19  5.779e-19 4.450e-19 6.846e-19
276.41  5.544e-19 4.396e-19 6.724e-19
276.62  5.379e-19 4.221e-19 6.730e-19
276.84  5.206e-19 4.345e-19 6.872e-19
277.06  5.089e-19 4.288e-19 6.784e-19
277.28  5.129e-19 4.170e-19 6.689e-19
277.49  5.205e-19 4.086e-19 6.624e-19
277.71  5.282e-19 4.091e-19 6.637e-19
277.93  5.327e-19 4.129e-19 6.648e-19
278.15  5.537e-19 4.185e-19 6.814e-19
278.36  5.828e-19 4.222e-19 6.757e-19
278.58  6.173e-19 4.459e-19 6.891e-19
278.80  6.581e-19 4.732e-19 7.164e-19
279.01  7.079e-19 5.046e-19 7.426e-19
279.23  7.283e-19 5.540e-19 7.824e-19
279.45  7.228e-19 5.856e-19 7.995e-19
279.67  7.119e-19 5.922e-19 7.984e-19
279.88  6.788e-19 5.784e-19 7.901e-19
280.10  6.499e-19 5.559e-19 7.718e-19
280.32  6.174e-19 5.294e-19 7.681e-19
280.54  5.936e-19 5.089e-19 7.515e-19
280.75  5.772e-19 4.854e-19 7.318e-19
280.97  5.678e-19 4.706e-19 7.227e-19
281.19  5.775e-19 4.579e-19 7.179e-19
281.41  5.912e-19 4.626e-19 7.204e-19
281.62  6.154e-19 4.721e-19 7.298e-19
281.84  6.495e-19 4.968e-19 7.508e-19
282.06  6.703e-19 5.324e-19 7.823e-19
282.28  6.905e-19 5.525e-19 7.868e-19
282.49  7.262e-19 5.645e-19 8.051e-19
282.71  7.835e-19 5.888e-19 8.218e-19
282.93  8.558e-19 6.321e-19 8.690e-19
283.15  8.901e-19 6.823e-19 9.001e-19
283.36  8.781e-19 7.077e-19 9.187e-19
283.58  8.387e-19 7.072e-19 9.186e-19
283.80  8.044e-19 6.960e-19 9.000e-19
284.01  7.647e-19 6.697e-19 8.864e-19
284.23  7.157e-19 6.468e-19 8.680e-19
284.45  6.775e-19 6.117e-19 8.397e-19
284.67  6.614e-19 5.826e-19 8.301e-19
284.88  6.554e-19 5.798e-19 8.375e-19
285.10  6.695e-19 5.857e-19 8.363e-19
285.32  6.872e-19 5.855e-19 8.389e-19
285.54  7.079e-19 5.801e-19 8.341e-19
285.75  7.185e-19 5.989e-19 8.379e-19
285.97  7.415e-19 5.913e-19 8.518e-19
286.19  8.137e-19 6.124e-19 8.719e-19
286.41  9.398e-19 6.797e-19 9.391e-19
286.62  1.006e-18 7.672e-19 9.834e-19
286.84  1.004e-18 8.138e-19 1.006e-18
287.06  9.936e-19 8.141e-19 1.018e-18
287.28  1.031e-18 8.338e-19 1.039e-18
287.49  1.037e-18 8.591e-19 1.057e-18
287.71  9.951e-19 8.569e-19 1.060e-18
287.93  9.341e-19 8.547e-19 1.050e-18
288.15  8.907e-19 8.212e-19 1.039e-18
288.36  8.444e-19 7.909e-19 1.009e-18
288.58  8.110e-19 7.519e-19 9.824e-19
